tile,field
T01t04/,VLASS2.1.ql.T01t04.J014231-373000.10.2048.v1/
T01t04/,VLASS2.1.ql.T01t04.J014241-383000.10.2048.v1/
T01t04/,VLASS2.1.ql.T01t04.J014252-393000.10.2048.v1/
T01t04/,VLASS2.1.ql.T01t04.J014718-363000.10.2048.v1/
T01t04/,VLASS2.1.ql.T01t04.J014731-373000.10.2048.v1/
T01t04/,VLASS2.1.ql.T01t04.J014745-383000.10.2048.v1/
T01t04/,VLASS2.1.ql.T01t04.J014800-393000.10.2048.v1/
T01t04/,VLASS2.1.ql.T01t04.J015214-363000.10.2048.v1/
T01t04/,VLASS2.1.ql.T01t04.J015232-373000.10.2048.v1/
T01t04/,VLASS2.1.ql.T01t04.J015250-383000.10.2048.v1/
T01t04/,VLASS2.1.ql.T01t04.J015309-393000.10.2048.v1/
T01t04/,VLASS2.1.ql.T01t04.J015711-363000.10.2048.v1/
T01t04/,VLASS2.1.ql.T01t04.J015731-373000.10.2048.v1/
T01t04/,VLASS2.1.ql.T01t04.J015741-383000.10.2048.v1/
T01t04/,VLASS2.1.ql.T01t04.J015752-393000.10.2048.v1/
T01t04/,VLASS2.1.ql.T01t04.J015949-363000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J040230-373000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J040232-383000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J040234-393000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J040724-363000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J040730-373000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J040743-393000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J041221-363000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J041231-373000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J041241-383000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J041252-393000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J041718-363000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J041731-373000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J041745-383000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J041800-393000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J042214-363000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J042232-373000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J042250-383000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J042309-393000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J042711-363000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J042731-373000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J042741-383000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J042752-393000.10.2048.v1/
T01t09/,VLASS2.1.ql.T01t09.J042949-363000.10.2048.v1/
T01t10/,VLASS2.1.ql.T01t10.J043228-363000.10.2048.v1/
T01t10/,VLASS2.1.ql.T01t10.J043230-373000.10.2048.v1/
T01t10/,VLASS2.1.ql.T01t10.J043232-383000.10.2048.v1/
T01t10/,VLASS2.1.ql.T01t10.J043234-393000.10.2048.v1/
T01t10/,VLASS2.1.ql.T01t10.J043724-363000.10.2048.v1/
T01t10/,VLASS2.1.ql.T01t10.J043730-373000.10.2048.v1/
T01t10/,VLASS2.1.ql.T01t10.J043736-383000.10.2048.v1/
T01t10/,VLASS2.1.ql.T01t10.J043743-393000.10.2048.v1/
T01t10/,VLASS2.1.ql.T01t10.J044221-363000.10.2048.v1/
T01t10/,VLASS2.1.ql.T01t10.J044231-373000.10.2048.v1/
T01t10/,VLASS2.1.ql.T01t10.J044241-383000.10.2048.v1/
T01t10/,VLASS2.1.ql.T01t10.J044252-393000.10.2048.v1/
T01t10/,VLASS2.1.ql.T01t10.J044718-363000.10.2048.v1/
T01t10/,VLASS2.1.ql.T01t10.J044731-373000.10.2048.v1/
T01t10/,VLASS2.1.ql.T01t10.J044745-383000.10.2048.v1/
